best on training set at iteration 0:  35%
best on training set at iteration 100:  46%
best on training set at iteration 200:  51%
best on training set at iteration 300:  58%
best on training set at iteration 400:  63%
best on training set at iteration 500:  65%
best on training set at iteration 600:  66%
best on training set at iteration 700:  68%
best on training set at iteration 800:  69%
best on training set at iteration 900:  70%
best on training set at iteration 1000:  70%
best on training set at iteration 1100:  71%
best on training set at iteration 1200:  71%
best on training set at iteration 1300:  71%
best on training set at iteration 1400:  71%
best on training set at iteration 1500:  71%
best on training set at iteration 1600:  72%
best on training set at iteration 1700:  73%
best on training set at iteration 1800:  74%
best on training set at iteration 1900:  74%
best on training set at iteration 2000:  76%
best on training set at iteration 2100:  79%
best on training set at iteration 2200:  79%
best on training set at iteration 2300:  80%
best on training set at iteration 2400:  81%
best on training set at iteration 2500:  82%
best on training set at iteration 2600:  82%
best on training set at iteration 2700:  83%
best on training set at iteration 2800:  84%
best on training set at iteration 2900:  84%
best on training set at iteration 3000:  84%
best on training set at iteration 3100:  84%
best on training set at iteration 3200:  84%
best on training set at iteration 3300:  84%
best on training set at iteration 3400:  84%
best on training set at iteration 3500:  84%
best on training set at iteration 3600:  84%
best on training set at iteration 3700:  84%
best on training set at iteration 3800:  84%
best on training set at iteration 3900:  84%
best on training set at iteration 4000:  84%
best on training set at iteration 4100:  84%
best on training set at iteration 4200:  84%
best on training set at iteration 4300:  84%
best on training set at iteration 4400:  84%
best on training set at iteration 4500:  84%
best on training set at iteration 4600:  84%
best on training set at iteration 4700:  84%
best on training set at iteration 4800:  84%
best on training set at iteration 4900:  85%
best on training set at iteration 5000:  85%
best on training set at iteration 5100:  85%
best on training set at iteration 5200:  85%
best on training set at iteration 5300:  85%
best on training set at iteration 5400:  85%
best on training set at iteration 5500:  85%
best on training set at iteration 5600:  85%
best on training set at iteration 5700:  85%
best on training set at iteration 5800:  85%
best on training set at iteration 5900:  85%
best on training set at iteration 6000:  85%
best on training set at iteration 6100:  85%
best on training set at iteration 6200:  85%
best on training set at iteration 6300:  85%
best on training set at iteration 6400:  85%
best on training set at iteration 6500:  85%
best on training set at iteration 6600:  85%
best on training set at iteration 6700:  85%
