best on training set at iteration 0:  74%
best on training set at iteration 100:  76%
best on training set at iteration 200:  77%
best on training set at iteration 300:  77%
best on training set at iteration 400:  79%
best on training set at iteration 500:  81%
best on training set at iteration 600:  83%
best on training set at iteration 700:  84%
best on training set at iteration 800:  87%
best on training set at iteration 900:  88%
best on training set at iteration 1000:  88%
best on training set at iteration 1100:  88%
best on training set at iteration 1200:  88%
best on training set at iteration 1300:  88%
best on training set at iteration 1400:  88%
best on training set at iteration 1500:  88%
best on training set at iteration 1600:  88%
best on training set at iteration 1700:  88%
best on training set at iteration 1800:  88%
best on training set at iteration 1900:  88%
best on training set at iteration 2000:  88%
best on training set at iteration 2100:  88%
best on training set at iteration 2200:  88%
best on training set at iteration 2300:  88%
best on training set at iteration 2400:  88%
best on training set at iteration 2500:  88%
best on training set at iteration 2600:  88%
best on training set at iteration 2700:  88%
best on training set at iteration 2800:  88%
best on training set at iteration 2900:  88%
best on training set at iteration 3000:  88%
best on training set at iteration 3100:  88%
best on training set at iteration 3200:  88%
best on training set at iteration 3300:  88%
best on training set at iteration 3400:  88%
best on training set at iteration 3500:  88%
best on training set at iteration 3600:  88%
best on training set at iteration 3700:  88%
best on training set at iteration 3800:  88%
best on training set at iteration 3900:  88%
best on training set at iteration 4000:  88%
best on training set at iteration 4100:  88%
best on training set at iteration 4200:  88%
best on training set at iteration 4300:  88%
best on training set at iteration 4400:  88%
best on training set at iteration 4500:  90%
best on training set at iteration 4600:  90%
best on training set at iteration 4700:  91%
best on training set at iteration 4800:  91%
best on training set at iteration 4900:  91%
best on training set at iteration 5000:  91%
best on training set at iteration 5100:  91%
best on training set at iteration 5200:  91%
best on training set at iteration 5300:  91%
best on training set at iteration 5400:  91%
best on training set at iteration 5500:  91%
best on training set at iteration 5600:  91%
best on training set at iteration 5700:  91%
best on training set at iteration 5800:  91%
best on training set at iteration 5900:  91%
best on training set at iteration 6000:  91%
best on training set at iteration 6100:  91%
best on training set at iteration 6200:  91%
best on training set at iteration 6300:  91%
best on training set at iteration 6400:  91%
best on training set at iteration 6500:  91%
best on training set at iteration 6600:  91%
best on training set at iteration 6700:  91%
best on training set at iteration 6800:  91%
best on training set at iteration 6900:  91%
best on training set at iteration 7000:  91%
best on training set at iteration 7100:  91%
best on training set at iteration 7200:  91%
best on training set at iteration 7300:  91%
best on training set at iteration 7400:  91%
best on training set at iteration 7500:  91%
best on training set at iteration 7600:  91%
best on training set at iteration 7700:  91%
best on training set at iteration 7800:  92%
best on training set at iteration 7900:  92%
best on training set at iteration 8000:  92%
best on training set at iteration 8100:  92%
best on training set at iteration 8200:  92%
best on training set at iteration 8300:  92%
best on training set at iteration 8400:  92%
best on training set at iteration 8500:  92%
best on training set at iteration 8600:  92%
best on training set at iteration 8700:  92%
best on training set at iteration 8800:  92%
best on training set at iteration 8900:  92%
best on training set at iteration 9000:  92%
best on training set at iteration 9100:  92%
best on training set at iteration 9200:  92%
best on training set at iteration 9300:  92%
best on training set at iteration 9400:  92%
best on training set at iteration 9500:  92%
best on training set at iteration 9600:  92%
best on training set at iteration 9700:  92%
best on training set at iteration 9800:  92%
best on training set at iteration 9900:  92%

 21-[4  15] -> 0
 21-[4  16] -> 0
 21-[5  16] -> 0
 23-[-0  13] -> 0
 6-[-0  4] -> 0
 59-[10  15] -> 0
 59-[7  12] -> 0
 58-[2  15] -> 0
 12-[1  12] -> 0
 42-[5  15] -> 0
 21-[-0  11] -> 0
 11-[3  13] -> 0
 16-[-0  4] -> 0
 2-[7  15] -> 0
 30-[4  7] -> 0
 33-[4  13] -> 0
 56-[-0  16] -> 0
 6-[-0  -0] -> 0
 39-[-0  14] -> 0
 44-[-0  4] -> 0
 13-[3  8] -> 0
 29-[-0  10] -> 0
 58-[-0  12] -> 0
 1-[-0  14] -> 0
